NUM_PASAJEROS;ANIO;MES;DIA;ZONA_FNC_GROUP_2;EsEscolar;EsFestivo
69074;2018;2;10;CPI-CABILDO;1;0
159;2018;2;10;CONVENIOS CABILDO-AYTOS.;1;0
14865;2018;2;10;ENCOMIENDA USC-AYTO.SC;1;0
69340;2018;2;11;CPI-CABILDO;1;0
404;2018;2;11;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
14163;2018;2;11;ENCOMIENDA USC-AYTO.SC;1;0
96;2018;2;11;CONVENIOS CABILDO-AYTOS.;1;0
2100;2018;2;12;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
554;2018;2;12;CONVENIOS CABILDO-AYTOS.;1;0
24332;2018;2;12;ENCOMIENDA USC-AYTO.SC;1;0
92879;2018;2;12;CPI-CABILDO;1;0
472;2018;2;13;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
14848;2018;2;13;ENCOMIENDA USC-AYTO.SC;1;0
145;2018;2;13;CONVENIOS CABILDO-AYTOS.;1;0
81856;2018;2;13;CPI-CABILDO;1;0
27987;2018;2;14;ENCOMIENDA USC-AYTO.SC;1;0
528;2018;2;14;CONVENIOS CABILDO-AYTOS.;1;0
91548;2018;2;14;CPI-CABILDO;1;0
2517;2018;2;14;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
27333;2018;2;15;ENCOMIENDA USC-AYTO.SC;1;0
624;2018;2;15;CONVENIOS CABILDO-AYTOS.;1;0
92180;2018;2;15;CPI-CABILDO;1;0
2636;2018;2;15;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
27950;2018;2;16;ENCOMIENDA USC-AYTO.SC;1;0
617;2018;2;16;CONVENIOS CABILDO-AYTOS.;1;0
92032;2018;2;16;CPI-CABILDO;1;0
2496;2018;2;16;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
18107;2018;2;17;ENCOMIENDA USC-AYTO.SC;1;0
84262;2018;2;17;CPI-CABILDO;1;0
720;2018;2;17;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
153;2018;2;17;CONVENIOS CABILDO-AYTOS.;1;0
11162;2018;2;18;ENCOMIENDA USC-AYTO.SC;1;0
83;2018;2;18;CONVENIOS CABILDO-AYTOS.;1;0
60185;2018;2;18;CPI-CABILDO;1;0
482;2018;2;18;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
614;2018;2;19;CONVENIOS CABILDO-AYTOS.;1;0
29505;2018;2;19;ENCOMIENDA USC-AYTO.SC;1;0
2862;2018;2;19;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
94913;2018;2;19;CPI-CABILDO;1;0
2911;2018;2;20;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
28708;2018;2;20;ENCOMIENDA USC-AYTO.SC;1;0
664;2018;2;20;CONVENIOS CABILDO-AYTOS.;1;0
95025;2018;2;20;CPI-CABILDO;1;0
29589;2018;2;21;ENCOMIENDA USC-AYTO.SC;1;0
96024;2018;2;21;CPI-CABILDO;1;0
703;2018;2;21;CONVENIOS CABILDO-AYTOS.;1;0
2893;2018;2;21;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
96546;2018;2;22;CPI-CABILDO;1;0
29128;2018;2;22;ENCOMIENDA USC-AYTO.SC;1;0
2767;2018;2;22;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
635;2018;2;22;CONVENIOS CABILDO-AYTOS.;1;0
24614;2018;2;23;ENCOMIENDA USC-AYTO.SC;1;0
86155;2018;2;23;CPI-CABILDO;1;0
2388;2018;2;23;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
610;2018;2;23;CONVENIOS CABILDO-AYTOS.;1;0
779;2018;2;24;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
14212;2018;2;24;ENCOMIENDA USC-AYTO.SC;1;0
160;2018;2;24;CONVENIOS CABILDO-AYTOS.;1;0
59080;2018;2;24;CPI-CABILDO;1;0
32785;2018;2;25;CPI-CABILDO;1;0
272;2018;2;25;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
5549;2018;2;25;ENCOMIENDA USC-AYTO.SC;1;0
91;2018;2;25;CONVENIOS CABILDO-AYTOS.;1;0
2978;2018;2;26;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
94537;2018;2;26;CPI-CABILDO;1;0
31552;2018;2;26;ENCOMIENDA USC-AYTO.SC;1;0
714;2018;2;26;CONVENIOS CABILDO-AYTOS.;1;0
95797;2018;2;27;CPI-CABILDO;1;0
2898;2018;2;27;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
29013;2018;2;27;ENCOMIENDA USC-AYTO.SC;1;0
660;2018;2;27;CONVENIOS CABILDO-AYTOS.;1;0
1776;2018;2;28;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
23295;2018;2;28;ENCOMIENDA USC-AYTO.SC;1;0
392;2018;2;28;CONVENIOS CABILDO-AYTOS.;1;0
69316;2018;2;28;CPI-CABILDO;1;0
2948;2018;3;1;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
30541;2018;3;1;ENCOMIENDA USC-AYTO.SC;1;0
660;2018;3;1;CONVENIOS CABILDO-AYTOS.;1;0
93842;2018;3;1;CPI-CABILDO;1;0
31592;2018;3;2;ENCOMIENDA USC-AYTO.SC;1;0
680;2018;3;2;CONVENIOS CABILDO-AYTOS.;1;0
99211;2018;3;2;CPI-CABILDO;1;0
3026;2018;3;2;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
15130;2018;3;3;ENCOMIENDA USC-AYTO.SC;1;0
146;2018;3;3;CONVENIOS CABILDO-AYTOS.;1;0
62747;2018;3;3;CPI-CABILDO;1;0
780;2018;3;3;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
10948;2018;3;4;ENCOMIENDA USC-AYTO.SC;1;0
117;2018;3;4;CONVENIOS CABILDO-AYTOS.;1;0
51882;2018;3;4;CPI-CABILDO;1;0
530;2018;3;4;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
31645;2018;3;5;ENCOMIENDA USC-AYTO.SC;1;0
97455;2018;3;5;CPI-CABILDO;1;0
3055;2018;3;5;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
671;2018;3;5;CONVENIOS CABILDO-AYTOS.;1;0
31206;2018;3;6;ENCOMIENDA USC-AYTO.SC;1;0
97185;2018;3;6;CPI-CABILDO;1;0
634;2018;3;6;CONVENIOS CABILDO-AYTOS.;1;0
3012;2018;3;6;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
684;2018;3;7;CONVENIOS CABILDO-AYTOS.;1;0
31193;2018;3;7;ENCOMIENDA USC-AYTO.SC;1;0
3044;2018;3;7;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
98663;2018;3;7;CPI-CABILDO;1;0
2716;2018;3;8;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
30472;2018;3;8;ENCOMIENDA USC-AYTO.SC;1;0
484;2018;3;8;CONVENIOS CABILDO-AYTOS.;1;0
96133;2018;3;8;CPI-CABILDO;1;0
31779;2018;3;9;ENCOMIENDA USC-AYTO.SC;1;0
99171;2018;3;9;CPI-CABILDO;1;0
2898;2018;3;9;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
658;2018;3;9;CONVENIOS CABILDO-AYTOS.;1;0
794;2018;3;10;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
16585;2018;3;10;ENCOMIENDA USC-AYTO.SC;1;0
67514;2018;3;10;CPI-CABILDO;1;0
160;2018;3;10;CONVENIOS CABILDO-AYTOS.;1;0
12081;2018;3;11;ENCOMIENDA USC-AYTO.SC;1;0
52024;2018;3;11;CPI-CABILDO;1;0
637;2018;3;11;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
120;2018;3;11;CONVENIOS CABILDO-AYTOS.;1;0
2906;2018;3;12;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
31473;2018;3;12;ENCOMIENDA USC-AYTO.SC;1;0
705;2018;3;12;CONVENIOS CABILDO-AYTOS.;1;0
96898;2018;3;12;CPI-CABILDO;1;0
96350;2018;3;13;CPI-CABILDO;1;0
3081;2018;3;13;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
31294;2018;3;13;ENCOMIENDA USC-AYTO.SC;1;0
654;2018;3;13;CONVENIOS CABILDO-AYTOS.;1;0
96724;2018;3;14;CPI-CABILDO;1;0
3046;2018;3;14;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
31431;2018;3;14;ENCOMIENDA USC-AYTO.SC;1;0
675;2018;3;14;CONVENIOS CABILDO-AYTOS.;1;0
91036;2018;3;15;CPI-CABILDO;1;0
29424;2018;3;15;ENCOMIENDA USC-AYTO.SC;1;0
2922;2018;3;15;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
635;2018;3;15;CONVENIOS CABILDO-AYTOS.;1;0
3060;2018;3;16;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
621;2018;3;16;CONVENIOS CABILDO-AYTOS.;1;0
29636;2018;3;16;ENCOMIENDA USC-AYTO.SC;1;0
96364;2018;3;16;CPI-CABILDO;1;0
858;2018;3;17;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
17804;2018;3;17;ENCOMIENDA USC-AYTO.SC;1;0
64656;2018;3;17;CPI-CABILDO;1;0
172;2018;3;17;CONVENIOS CABILDO-AYTOS.;1;0
525;2018;3;18;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
49087;2018;3;18;CPI-CABILDO;1;0
11752;2018;3;18;ENCOMIENDA USC-AYTO.SC;1;0
118;2018;3;18;CONVENIOS CABILDO-AYTOS.;1;0
94836;2018;3;19;CPI-CABILDO;1;0
3022;2018;3;19;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
30507;2018;3;19;ENCOMIENDA USC-AYTO.SC;1;0
618;2018;3;19;CONVENIOS CABILDO-AYTOS.;1;0
667;2018;3;20;CONVENIOS CABILDO-AYTOS.;1;0
93655;2018;3;20;CPI-CABILDO;1;0
2942;2018;3;20;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
30067;2018;3;20;ENCOMIENDA USC-AYTO.SC;1;0
93537;2018;3;21;CPI-CABILDO;1;0
3054;2018;3;21;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
653;2018;3;21;CONVENIOS CABILDO-AYTOS.;1;0
29894;2018;3;21;ENCOMIENDA USC-AYTO.SC;1;0
30142;2018;3;22;ENCOMIENDA USC-AYTO.SC;1;0
92199;2018;3;22;CPI-CABILDO;1;0
2907;2018;3;22;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
599;2018;3;22;CONVENIOS CABILDO-AYTOS.;1;0
29443;2018;3;23;ENCOMIENDA USC-AYTO.SC;1;0
590;2018;3;23;CONVENIOS CABILDO-AYTOS.;1;0
2824;2018;3;23;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
91742;2018;3;23;CPI-CABILDO;1;0
791;2018;3;24;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
14868;2018;3;24;ENCOMIENDA USC-AYTO.SC;1;0
174;2018;3;24;CONVENIOS CABILDO-AYTOS.;1;0
58989;2018;3;24;CPI-CABILDO;1;0
11575;2018;3;25;ENCOMIENDA USC-AYTO.SC;1;0
47204;2018;3;25;CPI-CABILDO;1;0
417;2018;3;25;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
123;2018;3;25;CONVENIOS CABILDO-AYTOS.;1;0
2315;2018;3;26;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
27213;2018;3;26;ENCOMIENDA USC-AYTO.SC;1;0
548;2018;3;26;CONVENIOS CABILDO-AYTOS.;1;0
86668;2018;3;26;CPI-CABILDO;1;0
27235;2018;3;27;ENCOMIENDA USC-AYTO.SC;1;0
84528;2018;3;27;CPI-CABILDO;1;0
2437;2018;3;27;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
523;2018;3;27;CONVENIOS CABILDO-AYTOS.;1;0
2408;2018;3;28;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
27085;2018;3;28;ENCOMIENDA USC-AYTO.SC;1;0
465;2018;3;28;CONVENIOS CABILDO-AYTOS.;1;0
84655;2018;3;28;CPI-CABILDO;1;0
125;2018;3;29;CONVENIOS CABILDO-AYTOS.;1;1
764;2018;3;29;ENCOMIENDA LAGUNA -AYTO.LAG;1;1
15249;2018;3;29;ENCOMIENDA USC-AYTO.SC;1;1
57200;2018;3;29;CPI-CABILDO;1;1
9324;2018;3;30;ENCOMIENDA USC-AYTO.SC;1;1
102;2018;3;30;CONVENIOS CABILDO-AYTOS.;1;1
556;2018;3;30;ENCOMIENDA LAGUNA -AYTO.LAG;1;1
47973;2018;3;30;CPI-CABILDO;1;1
58485;2018;3;31;CPI-CABILDO;1;0
773;2018;3;31;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
15053;2018;3;31;ENCOMIENDA USC-AYTO.SC;1;0
165;2018;3;31;CONVENIOS CABILDO-AYTOS.;1;0
401;2018;4;1;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
11128;2018;4;1;ENCOMIENDA USC-AYTO.SC;1;0
100;2018;4;1;CONVENIOS CABILDO-AYTOS.;1;0
45483;2018;4;1;CPI-CABILDO;1;0
2818;2018;4;2;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
30736;2018;4;2;ENCOMIENDA USC-AYTO.SC;1;0
87570;2018;4;2;CPI-CABILDO;1;0
641;2018;4;2;CONVENIOS CABILDO-AYTOS.;1;0
3018;2018;4;3;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
87853;2018;4;3;CPI-CABILDO;1;0
31094;2018;4;3;ENCOMIENDA USC-AYTO.SC;1;0
642;2018;4;3;CONVENIOS CABILDO-AYTOS.;1;0
90081;2018;4;4;CPI-CABILDO;1;0
3023;2018;4;4;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
31324;2018;4;4;ENCOMIENDA USC-AYTO.SC;1;0
618;2018;4;4;CONVENIOS CABILDO-AYTOS.;1;0
532;2018;4;5;CONVENIOS CABILDO-AYTOS.;1;0
87790;2018;4;5;CPI-CABILDO;1;0
3085;2018;4;5;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
30850;2018;4;5;ENCOMIENDA USC-AYTO.SC;1;0
91047;2018;4;6;CPI-CABILDO;1;0
3035;2018;4;6;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
31162;2018;4;6;ENCOMIENDA USC-AYTO.SC;1;0
583;2018;4;6;CONVENIOS CABILDO-AYTOS.;1;0
149;2018;4;7;CONVENIOS CABILDO-AYTOS.;1;0
15150;2018;4;7;ENCOMIENDA USC-AYTO.SC;1;0
56609;2018;4;7;CPI-CABILDO;1;0
753;2018;4;7;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
10425;2018;4;8;ENCOMIENDA USC-AYTO.SC;1;0
184;2018;4;8;CONVENIOS CABILDO-AYTOS.;1;0
42719;2018;4;8;CPI-CABILDO;1;0
419;2018;4;8;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
29832;2018;4;9;ENCOMIENDA USC-AYTO.SC;1;0
2896;2018;4;9;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
610;2018;4;9;CONVENIOS CABILDO-AYTOS.;1;0
88101;2018;4;9;CPI-CABILDO;1;0
31384;2018;4;10;ENCOMIENDA USC-AYTO.SC;1;0
89745;2018;4;10;CPI-CABILDO;1;0
672;2018;4;10;CONVENIOS CABILDO-AYTOS.;1;0
